Age,Daily_Usage_Hours,Platforms_Used_Count,Posts_Per_Week,Notifications_Per_Day,FOMO_Score,Social_Comparison_Score,Validation_Seeking_Score,Scroll_Without_Purpose,Anxiety_Score,Depression_Score,Loneliness_Score,Self_Esteem_Score,Sleep_Quality_Score,Sleep_Hours,Productivity_Loss_Score,Offline_Relationship_Quality,Physical_Activity_Hrs_Week,Screen_Free_Time_Hrs,Mental_Wellbeing_Score,Addiction_Level,Gender_Male,Gender_Non-binary,Occupation_Student,Occupation_Unemployed,Occupation_Working Professional,Relationship_Status_Married,Relationship_Status_Single,Primary_Platform_Instagram,Primary_Platform_Snapchat,Primary_Platform_TikTok,Primary_Platform_Twitter/X,Primary_Platform_YouTube,Late_Night_Usage_Yes,First_Check_Morning_After 30 min,First_Check_Morning_Within 5 min,Tried_To_Cut_Back_Yes,Failed_To_Cut_Back_Yes
30.0,2.9,4.0,3.0,62.0,4.9,7.4,2.1,10.0,2.5,3.8,1.7,6.5,8.5,5.3,3.7,3.8,5.8,3.1,7.3,Low,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
19.0,4.8,1.0,0.0,111.0,4.2,5.4,7.2,9.0,4.0,3.2,7.0,7.5,7.8,5.5,4.0,1.8,0.9,3.3,4.1,Severe,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True
40.0,4.4,4.0,5.0,122.0,2.7,5.5,5.9,6.1,7.6,0.0,5.6,5.3,6.3,6.6,5.8,2.8,0.0,1.5,5.6,High,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
37.0,7.7,2.0,3.0,48.0,3.9,8.3,4.9,4.1,3.3,3.5,5.6,1.4,3.9,6.1,5.5,3.6,1.0,3.9,4.3,Severe,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False
18.0,4.6,3.0,0.0,58.0,6.0,8.6,2.8,7.3,6.5,0.0,4.0,5.6,5.7,5.0,3.8,3.2,0.6,1.0,6.6,Moderate,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
34.0,1.2,1.0,3.0,37.0,5.5,5.1,7.1,6.0,5.2,5.3,5.0,7.9,5.5,5.6,2.8,5.6,4.1,1.5,7.7,Low,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True
38.0,5.0,4.0,4.0,24.0,4.0,4.8,6.0,2.6,5.3,3.8,7.2,0.5,4.8,8.2,6.8,5.4,3.2,3.7,5.5,High,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
22.0,3.4,5.0,2.0,64.0,6.5,7.5,4.0,4.0,3.4,6.1,3.1,2.9,3.8,10.0,6.8,6.7,3.0,6.6,6.2,Moderate,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
43.0,9.2,4.0,2.0,115.0,6.5,8.2,4.4,8.5,3.9,2.8,3.8,5.1,3.2,5.7,3.2,5.4,4.8,0.6,3.4,Severe,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
40.0,6.9,2.0,5.0,62.0,0.9,6.9,3.8,7.8,3.7,2.5,3.9,8.1,7.4,5.8,6.4,7.2,4.6,0.0,7.7,Low,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False
29.0,2.8,1.0,3.0,119.0,5.3,4.5,6.3,2.2,6.8,4.5,8.1,0.2,8.1,6.0,6.6,7.0,1.0,2.6,7.0,Low,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False
38.0,6.0,2.0,4.0,76.0,6.0,2.4,7.1,4.8,5.0,5.5,4.9,7.9,2.3,7.3,6.2,7.5,3.1,6.9,5.7,High,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
23.0,5.5,3.0,8.0,26.0,2.3,5.6,6.2,8.0,6.2,4.5,2.6,3.5,4.7,6.0,7.7,5.6,2.0,0.3,7.1,Moderate,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
